,Title,Distributor,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Estimated,Rated,Genre,Language,Awards,DVD,BoxOffice,Director,Writer,Actors,Runtime,Plot,IMDB_ID,IMDB_Rating,IMDB_Votes,IMDB_Metascore
411,The King's Choice,The Samuel Goldwyn Company,"$113,231",10,"$7,850",6.9%,2,Sep 22,Nov 19,False,N/A,"Biography, Drama, History, War","Norwegian, German, Danish, Swedish, English",11 wins & 8 nominations.,02 Jan 2018,"$113,231",Erik Poppe,"Alf R. Jacobsen (inspired by a book written by), Harald Rosenløw-Eeg, Jan Trygve Røyneland","Jesper Christensen, Anders Baasmo Christiansen, Karl Markovics, Tuva Novotny",133 min,"April 1940. Norway has been invaded by Germany and the royal family and government have fled into the interior. The German envoy to Norway tries to negotiate a peace. Ultimately, the decision on Norway's future will rest with the King.",tt4353996,7.1,"5,840",64
412,Amelia 2.0,TriCoast Worldwide,"$10,233",1,"$7,836",76.6%,1,Aug 4,Aug 10,False,Not Rated,"Drama, Romance, Sci-Fi",English,N/A,08 Aug 2017,N/A,Adam Orton,Rob Merritt,"Kate Vernon, Ed Begley Jr., Kamar de los Reyes, Debra Wilson",89 min,"When the husband of a dying woman is approached by a corporation pioneering a new program to extend life through robotics, they get caught in a public debate over human's relationship with technology.",tt3831344,6.3,"1,675",N/A
413,Rat Film,The Cinema Guild,"$35,195",4,"$7,793",22.1%,2,Sep 15,Mar 4,False,N/A,Documentary,English,4 wins & 12 nominations.,N/A,"$25,258",Theo Anthony,Theo Anthony,"Theo Anthony, Dan Deacon, Matt Fouse, Will Kearney III",82 min,"Across walls, fences, and alleys, rats not only expose our boundaries of separation but make homes in them. ""Rat Film"" is a feature-length documentary that uses the rat--as well as the ...",tt5840448,6.6,383,85
414,The Paris Opera,Film Movement,"$55,482",9,"$7,709",13.9%,4,Oct 18,Jan 25,False,N/A,Documentary,"French, English",1 win.,N/A,N/A,Jean-Stéphane Bron,N/A,"Stéphane Lissner, Benjamin Millepied",110 min,A behind-the-scenes look at the of how the Paris Opera is run under the direction of Stephane Lissner.,tt6599064,7.3,107,N/A
415,On the Beach at Night Alone,The Cinema Guild,"$37,489",3,"$7,594",20.3%,1,Nov 17,-,False,N/A,Drama,"Korean, English, German",6 wins & 7 nominations.,N/A,N/A,Sang-soo Hong,Sang-soo Hong,"Min-hee Kim, Young-hwa Seo, Jae-yeong Jeong, Seong-kun Mun",101 min,"An actress wanders around a seaside town, pondering her relationship with a married man.",tt6412864,6.8,"2,533",80
416,So B. It,Good Deed Entertainment,"$47,627",22,"$7,455",15.7%,2,Oct 6,Nov 9,False,PG-13,Drama,English,1 win.,N/A,N/A,Stephen Gyllenhaal,"Sarah Weeks (novel), Garry Williams","Talitha Eliana Bateman, Alfre Woodard, John Heard, Jessica Collins",98 min,"A young girl named Heidi, who lives with her mentally disabled mother, travels across the country to find out about her and her mother's past.",tt3663020,6.8,346,46
417,The Lure,Janus Films,"$37,100",7,"$7,370",19.9%,1,Feb 1,May 4,False,Not Rated,"Comedy, Drama, Fantasy, Horror, Musical, Thriller",Polish,20 wins & 14 nominations.,N/A,N/A,Agnieszka Smoczynska,Robert Bolesto,"Marta Mazurek, Michalina Olszanska, Kinga Preis, Andrzej Konopka",92 min,"In Warsaw, a pair of mermaid sisters are adopted into a cabaret. While one seeks love with humans the other hungers to dine on the human population of the city.",tt5278832,6.3,"5,360",72
418,False Confessions,Big World Pictures,"$29,000",3,"$7,361",25.4%,2,Jul 14,-,False,N/A,"Comedy, Drama",French,N/A,N/A,N/A,"Luc Bondy, Marie-Louise Bischofberger(co-director)","Luc Bondy, Marivaux (play), Geoffrey Layton (collaborating writer)","Isabelle Huppert, Louis Garrel, Bulle Ogier, Yves Jacques",82 min,Luc Bondy's final feature film as director draws talent from both stage and screen to bring Pierre de Marivaux's 1737 play into 21st century Paris. Isabelle Huppert commands the screen as ...,tt5925968,5.2,196,41
419,Big Time,Abramorama,"$7,347",2,"$7,347",100%,2,Dec 1,Dec 3,False,PG,"Documentary, Music",English,N/A,N/A,N/A,Chris Blum,"Kathleen Brennan, Tom Waits","Tom Waits, Michael L. Blair, Ralph Carney, Greg Cohen",87 min,"Bringing his unique sense of humor to this bizarre and original piece of moviemaking, Tom Waits takes the audience through a musical journey with his jazzy, quirky, bluesy tunes presented ...",tt0094743,8.2,656,N/A
420,Taipei Story,Janus Films,"$12,897",1,"$7,333",56.9%,1,Mar 17,Mar 23,False,Not Rated,Drama,"Min Nan, Mandarin, Hokkien",3 nominations.,N/A,N/A,Edward Yang,"T'ien-wen Chu, Hsiao-Hsien Hou, Edward Yang","Chin Tsai, Hsiao-Hsien Hou, I-Chen Ko, Su-Yun Ko",119 min,"Lung, a former member of the national Little League team and now operator of an old-style fabric business, is never able to shake a longing for his past glory. One day, he runs into a forme...",tt0089866,7.6,"1,466",N/A
421,Buster's Mal Heart,Well Go USA Entertainment,"$72,000",18,"$7,137",9.9%,1,Apr 28,Jul 13,False,Unrated,"Drama, Mystery, Thriller",English,3 nominations.,18 Jul 2017,"$72,622",Sarah Adina Smith,Sarah Adina Smith,"Rami Malek, DJ Qualls, Kate Lyn Sheil, Sukha Belle Potter",96 min,A family man's chance encounter with a conspiracy-obsessed drifter leaves him on the run from the police and an impending event known as the Inversion.,tt5173032,6.1,"6,022",63
422,Panique,Rialto Pictures,"$46,041",3,"$7,062",15.3%,1,Jan 20,-,False,N/A,Drama,French,N/A,N/A,N/A,Jean-Claude Lord,"Jean-Claude Lord, Jean Salvy, Jean Salvy (dialogue)","Paule Baillargeon, Jean Coutu, Lise Thouin, Pierre Thériault",97 min,Industrial pollution causes water poisoning and generalized sickness in a nearby city and is the start of a major news scandal.,tt0125975,5.6,33,N/A
423,Bobbi Jene,Oscilloscope,"$18,579",3,"$7,035",37.9%,1,Sep 22,Nov 5,False,N/A,"Documentary, Drama, Romance",English,5 wins & 4 nominations.,N/A,"$15,981",Elvira Lind,Maja Jul Larsen (script consultant),"Laura Dern, Ohad Naharin, Or Schraiber, Bobbi Jene Smith",95 min,"A love story portraying the dilemmas and inevitable consequences of ambition. It is a film about a woman's fight for independence, trying to succeed with her own art in the extremely competitive world of dance.",tt6082630,6.3,311,52
424,Bill Nye: Science Guy,PBS Distribution,"$72,520",9,"$7,005",9.7%,1,Oct 27,Feb 1,False,Not Rated,Documentary,English,N/A,N/A,"$22,786","David Alvarado, Jason Sussberg",N/A,"Neil deGrasse Tyson, Bill Nye, Ann Druyan, Heather Berlin",101 min,A famous television personality struggles to restore science to its rightful place in a world hostile to evidence and reason.,tt4853154,6.0,882,73
425,The Farthest,Abramorama,"$14,773",2,"$6,900",46.7%,2,Aug 11,Aug 24,False,PG,"Documentary, History","English, Hungarian, Chinese, Greek,  Ancient (to 1453), Hindi, Nepali, Portuguese, Arabic",8 wins & 6 nominations.,N/A,"$13,557",Emer Reynolds,Emer Reynolds,"Frank Drake, Carolyn Porco, John Casani, Lawrence Krauss",121 min,It is one of humankind's greatest achievements. More than 12 billion miles away a tiny spaceship is leaving our Solar System and entering the void of deep space - the first human-made object ever to do so.,tt6223974,8.1,"3,146",87
426,One Week and a Day,Oscilloscope,"$38,417",16,"$6,833",17.8%,3,Apr 28,Jun 29,False,N/A,"Comedy, Drama",Hebrew,8 wins & 14 nominations.,05 Sep 2017,"$41,528",Asaph Polonsky,Asaph Polonsky,"Sharon Alexander, Shai Avivi, Tomer Capon, Evgenia Dodina",98 min,"When Eyal finishes the week of mourning for his late son, his wife urges him to return to their routine but instead he gets high with a young neighbor and sets out to discover that there ...",tt4777584,6.7,778,72
427,The Last Shaman,Abramorama,"$17,844",4,"$6,799",38.1%,1,May 12,Jun 8,False,N/A,"Documentary, Adventure, Drama, Family","English, Spanish",N/A,N/A,N/A,Raz Degan,Raz Degan,"Guillermo Arevalo, James Freeman",77 min,"James gives himself 12 months before he has 'a license to kill himself', he sets off to the amazon rainforest with hopes of finding a shaman who can save his life.",tt3511124,6.8,798,49
428,Le Trou,Rialto Pictures,"$34,588",3,"$6,756",19.5%,1,Jun 28,Sep 28,False,Not Rated,"Crime, Drama, Thriller",French,Nominated for 2 BAFTA Film Awards. Another 2 wins & 1 nomination.,20 Nov 2001,"$30,973",Jacques Becker,"José Giovanni (novel), Jacques Becker (adaptation), José Giovanni (adaptation), Jean Aurel (adaptation), Jacques Becker (dialogue), José Giovanni (dialogue)","Michel Constantin, Jean Keraudy, Philippe Leroy, Raymond Meunier",131 min,In prison four long-sentence inmates planning an elaborate escape cautiously induct a new inmate to join in their scheme which leads to distrust and uncertainty.,tt0054407,8.5,"12,895",N/A
429,SHOT! The Psycho-Spiritual Mantra of Rock,Magnolia Pictures,"$15,157",2,"$6,694",44.2%,2,Apr 7,Apr 27,False,Not Rated,"Documentary, Biography, Music",English,1 nomination.,07 Apr 2017,"$14,037",Barney Clay,N/A,Mick Rock,98 min,A joyride that delves deep into the mind of rock and roll's greatest living photographer: Mick Rock.,tt3044562,6.8,373,64
430,Naples '44,First Run,"$24,620",2,"$6,636",27%,1,Nov 29,Dec 17,False,Not Rated,"Documentary, War","Italian, English",1 win & 1 nomination.,N/A,N/A,Francesco Patierno,"Norman Lewis (novel), Francesco Patierno (screenplay by)","Benedict Cumberbatch, Adriano Giannini, Alan Arkin, Ernest Borgnine",80 min,A British Intelligence Officer in Naples at the end of World War II: Norman Lewis's acknowledged masterpiece about a war-torn city and its unforgettable humanity.,tt3886508,6.8,104,51
431,The Persian Connection,The Samuel Goldwyn Company,"$6,634",1,"$6,634",100%,1,Jul 14,-,False,N/A,"Action, Crime, Mystery, Thriller","English, Persian, Russian",1 nomination.,N/A,N/A,Daniel Grove,"Daniel Grove (story), Daniel Grove, Reza Sixo Safai (story)","Reza Sixo Safai, Helena Mattsson, Parviz Sayyad, Julian Sands",103 min,"After being wrongly accused of stealing from his former boss, an Iranian gangster with girl problems must hunt down stolen drugs in this neon-noir fever dream set in the bizarre Persian and Russian Los Angeles underworld where obscene reigns supreme.",tt4831810,5.0,255,49
432,Quest,First Run,"$47,807",3,"$6,591",13.8%,1,Dec 1,Jan 18,False,N/A,"Animation, Short, Comedy, Family",None,Won 1 Oscar. Another 19 wins & 1 nomination.,N/A,N/A,Tyron Montgomery,Thomas Stellmach (story),N/A,12 min,"In the desolate landscapes of an unforgiving desert, a desperate for water wanderer summons up the strength to follow the muffled sound of dripping liquid, only to pay the high price of pursuing a dream. Is all hope lost?",tt0117419,7.3,601,N/A
433,All the Queen's Horses,Argot Pictures,"$16,172",1,"$6,573",40.6%,1,Nov 10,Nov 23,False,TV-14,Documentary,English,N/A,N/A,N/A,Kelly Richmond Pope,N/A,N/A,70 min,"In 2012, Crundwell was arrested as the largest municipal fraud perpetrator in the nation's history, embezzling upwards of $50 million as the comptroller and treasurer of Dixon, a city in ...",tt5709852,6.6,218,N/A
434,The Recall,Freestyle Releasing,"$22,943",31,"$6,570",28.6%,7,Jun 2,Jun 22,False,R,"Action, Sci-Fi, Thriller",English,1 win.,N/A,"$19,566",Mauro Borrelli,"Mauro Borrelli (story by), Reggie Keyohara III, Sam Acton King, Teddy Wynne (additional writer)","Wesley Snipes, RJ Mitte, Jedidiah Goodacre, Laura Bilgeri",90 min,"When five friends vacation at a remote lake house they expect nothing less than a good time, unaware that planet Earth is under an alien invasion and mass-abduction.",tt5669936,4.4,"6,390",N/A
435,Mansfield 66/67,FilmBuff,"$16,372",12,"$6,451",39.4%,1,Oct 27,Dec 17,False,Not Rated,"Documentary, Biography, Musical",English,N/A,N/A,N/A,"P. David Ebersole, Todd Hughes",N/A,"Ann Magnuson, Richmond Arquette, Kenneth Anger, A.J. Benza",84 min,"MANSFIELD 66/67 is about the last two years of movie goddess Jayne Mansfield's life, and the rumours swirling around her untimely death.",tt6027344,6.0,166,54
436,The Passion of Joan of Arc,Janus Films,"$21,877",1,"$6,408",29.3%,1,Nov 24,Dec 7,False,Not Rated,"Biography, Drama, History",French,2 wins & 1 nomination.,09 Nov 1999,N/A,Carl Theodor Dreyer,"Joseph Delteil, Carl Theodor Dreyer","Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz",114 min,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",tt0019254,8.2,"41,943",N/A
437,Vince Giordano: There's a Future in the Past,First Run,"$12,125",1,"$6,285",51.8%,1,Jan 13,-,False,N/A,"Documentary, Biography, History, Music",English,N/A,N/A,"$14,285","Dave Davidson, Amber Edwards","Dave Davidson, Amber Edwards","Vince Giordano, Garrison Keillor, David Johansen, Terry Gross",90 min,"Bandleader Vince Giordano keeps the Jazz Age alive with his 11-member band The Nighthawks, vintage musical instruments, and a collection of more than 60,000 original arrangements from the 1920s and '30s.",tt4322510,8.2,21,74
438,XX,Magnolia Pictures,"$30,911",16,"$6,222",20.1%,7,Feb 17,Mar 23,False,R,Horror,English,1 nomination.,23 May 2017,"$30,611","Roxanne Benjamin, Karyn Kusama, St. Vincent, Jovanka Vuckovic","Jovanka Vuckovic (written for the screen by), Jack Ketchum (based on the story written by), Roxanne Benjamin, St. Vincent, Roxanne Benjamin, Karyn Kusama","Natalie Brown, Jonathan Watton, Peter DaCunha, Peyton Kennedy",80 min,Four short horror films that are directed and written by women.,tt3322892,4.5,"10,138",64
439,Ugetsu,Janus Films,"$11,197",1,"$6,154",55%,1,Mar 1,-,False,Not Rated,"Drama, Fantasy, War",Japanese,Nominated for 1 Oscar. Another 4 wins & 1 nomination.,08 Nov 2005,"$6,154",Kenji Mizoguchi,"Matsutarô Kawaguchi (adaptation), Hisakazu Tsuji (idea), Akinari Ueda (stories), Yoshikata Yoda (screenplay)","Machiko Kyô, Mitsuko Mito, Kinuyo Tanaka, Masayuki Mori",96 min,"A tale of ambition, family, love, and war set in the midst of the Japanese Civil Wars of the sixteenth century.",tt0046478,8.3,"18,376",N/A
440,The Freedom to Marry,Argot Pictures,"$16,611",3,"$6,142",37%,1,Mar 3,Apr 20,False,NOT RATED,Documentary,English,8 wins.,N/A,"$6,142",Eddie Rosenstein,N/A,"Evan Wolfson, Mary Bonauto, April DeBoer, Noel Freeman",86 min,"Over the last four decades, the concept of same-sex couples marrying went from a 'preposterous notion' to the national law. The Freedom to Marry movement is now known as one of the most ...",tt5241356,7.2,76,67
441,The Ornithologist,Strand Releasing,"$48,546",6,"$6,132",12.6%,2,Jun 23,Sep 14,False,Unrated,"Adventure, Drama, Mystery","Portuguese, English, Mandarin, Mirandese, Latin",14 wins & 27 nominations.,N/A,N/A,João Pedro Rodrigues,João Pedro Rodrigues,"Paul Hamy, João Pedro Rodrigues, Xelo Cagiao, Han Wen",117 min,"Fernando, a solitary ornithologist, is looking for black storks when he is swept away by the rapids. Rescued by a couple of Chinese pilgrims, he plunges into an eerie and dark forest, trying to get back on his track.",tt4929038,6.3,"2,385",85
442,Una,Eammon Films,"$22,815",7,"$6,120",26.8%,1,Oct 6,Oct 29,False,R,"Drama, Romance",English,3 nominations.,02 Jan 2018,N/A,Benedict Andrews,"David Harrower (based on his play ""Blackbird"")","Ruby Stokes, Rooney Mara, David Shields, Ben Mendelsohn",94 min,"A woman confronts an older man, her former neighbour, to find out why he abandoned her after they had a sexual relationship.",tt2315582,6.2,"8,195",62
443,Sidemen: Long Road to Glory,Abramorama,"$20,592",6,"$6,120",29.7%,1,Aug 18,Sep 24,False,N/A,"Documentary, Biography, History, Music",English,5 wins & 3 nominations.,N/A,N/A,Scott D. Rosenbaum,"Jasin Cadic, Scott D. Rosenbaum","Marc Maron, Pinetop Perkins, Hubert Sumlin, Willie 'Big Eyes' Smith",77 min,"SIDEMEN - Long Road To Glory is an intimate look at the incredible lives and legacies of piano player Pinetop Perkins, drummer Willie 'Big Eyes' Smith and guitarist Hubert Sumlin, all Muddy...",tt5191938,8.0,80,70
444,Dina,The Orchard,"$90,503",24,"$6,015",6.6%,1,Oct 6,Nov 23,False,Not Rated,Documentary,English,6 wins & 3 nominations.,N/A,"$90,873","Antonio Santini, Dan Sickles",N/A,"Dina Buno, Scott Levin, Frank Costanzo, Jeannie Levin",103 min,An eccentric suburban woman and a Walmart door greeter navigate their evolving relationship in this unconventional love story.,tt6333058,6.8,535,75
445,Lemon,Magnolia Pictures,"$29,258",13,"$5,957",20.4%,2,Aug 18,Oct 5,False,Not Rated,"Comedy, Drama",English,1 win & 6 nominations.,N/A,N/A,Janicza Bravo,"Janicza Bravo, Brett Gelman","Brett Gelman, Judy Greer, Michael Cera, Gillian Jacobs",83 min,A man watches his life unravel after he is left by his girlfriend of 10 years.,tt5973364,4.6,"1,363",59
446,The Pathological Optimist,The Film Arcade,"$11,222",2,"$5,946",53%,1,Sep 29,Oct 8,False,TV-14,"Documentary, Biography",N/A,2 wins.,N/A,"$5,946",Miranda Bailey,N/A,N/A,93 min,"In the center of the recent Tribeca Film Festival scandal surrounding his film VAXXED: From Cover-up to Controversy stands Andrew Wakefield, discredited and stripped of his medical license ...",tt6391732,5.8,82,N/A
447,Another WolfCop,Parade Deck Films,"$7,285",6,"$5,890",80.9%,6,Dec 1,Dec 10,False,N/A,"Comedy, Fantasy, Horror",English,N/A,03 Jul 2018,N/A,Lowell Dean,Lowell Dean,"Leo Fafard, Yannick Bisson, Amy Matysio, Jonathan Cherry",82 min,Alcoholic werewolf cop Lou Garou springs into action when an eccentric businessman with evil intentions seduces Woodhaven's residents with a new brewery and hockey team in this outrageous horror-comedy sequel.,tt4515762,4.8,974,N/A
448,"A Woman, a Part",Strand Releasing,"$23,435",3,"$5,869",25%,1,Mar 22,Jun 15,False,Not Rated,Drama,English,2 nominations.,N/A,N/A,Elisabeth Subrin,Elisabeth Subrin,"Dagmara Dominczyk, Maggie Siff, Khandi Alexander, John Ortiz",97 min,"An exhausted, workaholic actress, Anna Baskin, 44, abruptly extricates herself from a successful but mind-numbing TV role, returning to her past life in New York to reinvent herself.",tt4637878,5.4,377,66
449,Birdboy: The Forgotten Children,GKIDS,"$38,786",9,"$5,849",15.1%,4,Dec 15,Feb 22,False,N/A,"Animation, Drama, Horror, Sci-Fi","Spanish, English",7 wins & 5 nominations.,N/A,N/A,"Pedro Rivero, Alberto Vázquez","Joe Deasy (script adaptation), Pedro Rivero, Pedro Rivero, Stephanie Sheh (script adaptation), Alberto Vázquez, Alberto Vázquez","Andrea Alzuri, Eva Ojanguren, Josu Cubero, Félix Arcarazo",76 min,Three children decide to leave their homes looking for a better life.,tt5004766,7.3,"1,604",76
